state,ac,year,won,margin,dlog,npre,npost
uttar pradesh,saharanpur nagar,2017,0,-46.43,0.34036387053093087,5,3
uttar pradesh,kairana,2017,0,-46.609997,0.38724734916279857,5,3
uttar pradesh,najibabad,2017,0,-36.579998,0.4006407695091889,5,3
uttar pradesh,nagina,2017,0,-34.66,0.5303821048913564,5,3
uttar pradesh,kanth,2017,0,-21.099998,0.32364078249208816,5,3
uttar pradesh,thakurdwara,2017,0,-38.39,0.2788378225305248,5,3
uttar pradesh,moradabad rural,2017,0,-42.649998,0.3123050637533513,5,3
uttar pradesh,moradabad,2017,0,-44.26,0.12221223309387774,5,3
uttar pradesh,kunderki,2017,0,-39.170002,0.6562884265201943,5,3
uttar pradesh,sambhal,2017,0,-8.25,0.26893432528643935,5,3
uttar pradesh,amroha,2017,0,-35.68,0.3374404289892192,5,3
uttar pradesh,hasanpur,2017,0,-43.170002,0.7423692646330924,5,3
uttar pradesh,koil,2017,0,-40.84,0.3379502577950593,5,3
uttar pradesh,agra south,2017,0,-51.399998,-0.03963823054263926,5,3
uttar pradesh,firozabad,2017,0,-39.25,0.04617371720053587,5,3
uttar pradesh,badaun,2017,0,-40.620003,0.5363336657757252,5,3
uttar pradesh,bilgram malanwan,2017,0,-36.39,1.1093395046990597,5,3
uttar pradesh,lucknow west,2017,0,-41.949997,0.29997225622215495,5,3
uttar pradesh,lucknow central,2017,0,-39.010002,0.011262835099662638,5,3
uttar pradesh,issauli,2017,0,-24.92,1.1263522527049572,5,3
uttar pradesh,aryanagar,2017,0,-47.079998,0.20151379976799788,5,3
uttar pradesh,allahabad south,2017,0,-52.039997,-0.033412943530738204,5,3
uttar pradesh,ram nagar,2017,0,-39.329998,0.987129353298358,5,3
uttar pradesh,barabanki,2017,0,-40.25,0.5170195242192772,5,3
uttar pradesh,bikapur,2017,0,-40.73,0.5633821932043359,5,3
uttar pradesh,tanda,2017,0,-35.34,0.682764361758605,5,3
uttar pradesh,matera,2017,0,-38.84,0.7872377753958215,5,3
uttar pradesh,kaiserganj,2017,0,-38.899998,1.4872388084343342,5,3
uttar pradesh,shrawasti,2017,0,-31.650002,0.9294268673771242,5,3
uttar pradesh,gainsari,2017,0,-26.8,1.3940101948542036,5,3
uttar pradesh,utraula,2017,0,-41.449997,0.8859840210449557,5,3
uttar pradesh,shohratgarh,2017,0,-33.59,0.7866335367875825,5,3
uttar pradesh,mehndawal,2017,0,-30.219997,0.9087886107625112,5,3
uttar pradesh,khalilabad,2017,0,-31.019999,0.5713993907781179,5,3
uttar pradesh,pharenda,2017,0,-37.420002,0.5848479654177714,5,3
uttar pradesh,nautanwa,2017,0,-36.23,1.3909748220905431,5,3
uttar pradesh,khadda,2017,0,-37.699997,1.4663987890057841,5,3
uttar pradesh,pathardeva,2017,0,-51.14,1.3533692448694046,5,3
bihar,raniganj,2015,0,-47.120003,1.5556658834779684,3,3
bihar,kishanganj,2015,0,-29.230001,0.7664102595963005,3,3
bihar,kochadhaman,2015,0,-13.279999,1.2209863502834866,3,3
bihar,amour,2015,0,-58.0,1.9705049251338158,3,3
bihar,baisi,2015,0,-31.18,0.8922800154110124,3,3
bihar,balrampur,2015,0,-28.470001,1.0537133027873997,3,3
jharkhand,rajmahal,2019,0,-41.85,0.6926482224841957,7,2
jharkhand,madhupur,2019,0,-34.100002,0.6298446822781143,7,2
jharkhand,sarath,2019,0,-36.5,0.6731755923159009,7,2
jharkhand,mahagama,2019,0,-42.57,0.6768914510310102,7,2
jharkhand,barkatha,2019,0,-25.59,0.3204825462045946,7,2
jharkhand,barkagaon,2019,0,-42.780003,0.30799791901121054,7,2
jharkhand,mandhu,2019,0,-15.02,0.017717821323438798,7,2
jharkhand,hazaribagh,2019,0,-45.0,0.023563272840185334,7,2
jharkhand,dhanwar,2019,0,-19.46,1.4885852080374988,7,2
jharkhand,gandey,2019,0,-31.49,0.17664723477380484,7,2
jharkhand,dumri,2019,0,-24.7,0.21746719629736333,7,2
jharkhand,bokaro,2019,0,-39.429996,-0.12115933048379901,7,2
jharkhand,jamshedpur west,2019,0,-46.12,-0.041508621063725215,7,2
jharkhand,mandar,2019,0,-30.650002,0.4636657056582667,7,2
jharkhand,bishrampur,2019,0,-15.450001,3.2315253347215736,7,2
jharkhand,garhwa,2019,0,-41.86,0.7736536936752625,7,2
maharashtra,dhule city,2014,0,-34.71,0.04167766680662588,2,3
maharashtra,nanded north,2014,0,-4.51,0.39954031343291785,2,3
maharashtra,nanded south,2014,0,-6.459999,0.22439003550364411,2,3
maharashtra,parbhani,2014,0,-13.939999,0.2555728572844913,2,3
maharashtra,aurangabad central,2014,1,10.600002,0.19033209036994236,2,3
maharashtra,aurangabad east,2014,0,-2.4199982,0.17229497552328255,2,3
maharashtra,malegaon central,2014,0,-32.43,0.5158607002963347,2,3
maharashtra,bhiwandi west,2014,0,-30.240002,-0.0033189665005073365,2,3
maharashtra,bhiwandi east,2014,0,-15.58,0.1118068856041452,2,3
maharashtra,mumbra kalwa,2014,0,-42.43,0.012402547005957665,2,3
maharashtra,dindoshi,2014,0,-34.440002,0.1000905594535304,2,3
maharashtra,versova,2014,0,-24.779999,0.08264751839977436,2,3
maharashtra,andheri west,2014,0,-38.41,0.042737881721468085,2,3
maharashtra,mankhurd shivaji nagar,2014,0,-29.099998,0.1380315284410294,2,3
